epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3050.77,1.52097,4.24821,1.10015,0.13764,0.3203,0.13702,0.09054,1.1978,3.01735,0.98013,5.96217e-05,5.96217e-05,5.96217e-05
2,5969.72,1.3283,2.63718,1.04042,0.50982,0.71031,0.63841,0.45097,1.05107,1.77696,0.94442,9.56692e-05,9.56692e-05,9.56692e-05
3,8731.37,1.26709,1.86728,1.02872,0.85036,0.88215,0.93089,0.71062,0.89687,1.14377,0.91282,0.000108089,0.000108089,0.000108089
4,11484.4,1.22888,1.46684,1.01861,0.9311,0.94181,0.97623,0.73486,0.95368,0.92523,0.92159,7.2674e-05,7.2674e-05,7.2674e-05
5,14291.3,1.20591,1.27969,1.0126,0.95369,0.96101,0.98597,0.76218,0.88852,0.8299,0.90681,3.7232e-05,3.7232e-05,3.7232e-05
